origami,link
bat,https://www.youtube.com/watch?v=OpcxenhBO64
cat,https://youtu.be/FhIrL9LTa7k?si=mIaLpJr3-BgGGj_Z
penguin,https://www.youtube.com/watch?v=xVVCBDsFj8U
butterfly,https://youtu.be/cZdO2e8K29o?si=9FZWdFOrL6TxGjzO
